Plant Name,PPA,PPAx0.8
Bowker_K1(PPA 89.64),90.0,72.0
Bowker_K3(PPA 74.7),75.0,60.0
Bowker_K4(PPA 89.64),90.0,72.0
Bowker_K5(Garment 89.64),90.0,72.0
Century_Cu Chi (PPA 999),,
CTR Trang Bang 1 (270),270.0,216.0
CTR Trang Bang 2,270.0,216.0
CTR Trang Bang 3,270.0,216.0
CTR Trang Bang 4,270.0,216.0
CTR Trang Bang 5,270.0,216.0
CTR Trang Bang 6,270.0,216.0
CTR Trang Bang 7,270.0,216.0
Da Luen,,
Dinsen_phase2 (3.7MWp),400.0,320.0
Dinsen_Solar 1 (1mwp),,
Formosa 1,,
Formosa 2,,
Formosa 3.1,,
Formosa 3.2.1,,
Gamuda Land (743.4),,
Gia Tri Soc Trang A,0.0,0.0
Gia Tri Soc trang B,0.0,0.0
GoldLongJohn_phase2,0.0,0.0
GoldLongJohn_phase3,0.0,0.0
Gold_Long_John (NIKE Vietnam's first RTS),0.0,0.0
Hualuen,0.0,0.0
Julien Vietnam,0.0,0.0
Kuo Yuen,0.0,0.0
LAC TY BT adidas Vietnam RTS (799.9),,
Lac Ty HG 1,195.0,156.0
Lac Ty HG 2,195.0,156.0
Lac Ty HG 3,195.0,156.0
Lac Ty HG 4,195.0,156.0
Lac Ty HG 5,195.0,156.0
Lac Ty HG 6,195.0,156.0
Lac Ty HG 7,195.0,156.0
Lac Ty HG 8,0.0,0.0
POUSUNG_1 (120),,
POUSUNG_2 (PPA 120),,
POUSUNG_3 (PPA120),,
POUSUNG_4 (120),,
Quang Viet TG-Indefol Solar (P1 4298-2),,
Quang Viet TG-Indefol Solar (P2 4298-2),,
Rang Dong Plastic (PPA 4952),,
Tajow,0.0,0.0
TANS solar project,0.0,0.0
Ty Thac A,0.0,0.0
Ty Thac B,0.0,0.0
Ty Thac office,0.0,0.0
Ty Xuan B1 SL7 (200),200.0,160.0
Ty Xuan B2 SL8 (200),200.0,160.0
Ty Xuan B3 SL9 (200),200.0,160.0
Ty Xuan B5 SL10 (200),200.0,160.0
Ty Xuan B6 SL11 (100),100.0,80.0
Ty Xuan B7 SL12 (100),100.0,80.0
Ty Xuan SL1 -U (990),990.0,792.0
Ty Xuan SL2 A2 (990),990.0,792.0
Ty Xuan SL3 (A6-1) 990,990.0,792.0
Ty Xuan SL4 (A6-2) 990,990.0,792.0
Ty Xuan SL5 (A6-3) 990,990.0,792.0
Ty Xuan Solar 6 (A16) 990,990.0,792.0
TyBach SH-SL1 (PPA 990),990.0,792.0
TyBach_A2-SL5 (990),990.0,792.0
TyBach_A3-1-Solar6,,
TyBach_A3-SL6 (990),990.0,792.0
TyBach_A5-SL10 (200),200.0,160.0
TyBach_A6-SL8 (300),300.0,240.0
TyBach_A7-SL7 (300),300.0,240.0
TyBach_Nha Dien -SL10(200),200.0,160.0
YUEDE (PPA 875),,
